HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458030.79725,2017-10-04.2932576,bj,1.95,15.289,>15.289,99.990,0.562,0.557,g
2458033.79374,2017-10-07.2896460,bf,1.40,15.907,>15.907,99.990,0.618,0.333,V
2458033.79500,2017-10-07.2909122,bf,1.45,15.955,>15.955,99.990,0.503,0.318,V
2458033.79627,2017-10-07.2921761,bf,1.53,15.990,>15.990,99.990,0.464,0.308,V
2458035.69702,2017-10-09.1928734,bf,1.48,16.062,>16.062,99.990,0.354,0.289,V
2458035.69829,2017-10-09.1941484,bf,1.57,16.169,>16.169,99.990,1.008,0.261,V
2458035.69957,2017-10-09.1954224,bf,1.52,16.221,>16.221,99.990,0.501,0.249,V
2458037.67468,2017-10-11.1704765,bf,1.50,16.885,16.730,0.190,0.780,0.135,V
2458037.67594,2017-10-11.1717449,bf,1.61,16.906,>16.906,99.990,0.585,0.133,V
2458037.67722,2017-10-11.1730216,bf,1.61,16.917,>16.917,99.990,0.516,0.131,V
2458037.75784,2017-10-11.2536400,bj,2.48,99.990,99.990,99.990,99.990,99.990,g
2458040.85294,2017-10-14.3486679,bj,1.97,17.580,16.918,0.119,0.621,0.068,g
2458040.85416,2017-10-14.3498896,bj,1.99,17.658,17.655,0.218,0.315,0.063,g
2458040.85538,2017-10-14.3511094,bj,1.82,17.487,17.307,0.185,0.434,0.074,g
2458041.71181,2017-10-15.2075130,bf,1.64,16.960,16.686,0.170,0.812,0.126,V
2458041.71307,2017-10-15.2087750,bf,1.49,17.132,>17.132,99.990,0.425,0.108,V
2458041.83493,2017-10-15.3306266,bj,1.77,17.588,17.176,0.150,0.489,0.067,g
2458041.83613,2017-10-15.3318403,bj,1.66,17.680,17.372,0.165,0.409,0.062,g
2458041.83736,2017-10-15.3330603,bj,1.67,17.630,17.103,0.135,0.524,0.064,g
2458043.75553,2017-10-17.2511975,bf,1.49,16.976,>16.976,99.990,0.560,0.124,V
2458043.82867,2017-10-17.3243364,bj,1.70,17.675,17.581,0.201,0.337,0.062,g
2458043.82989,2017-10-17.3255562,bj,1.63,17.710,17.474,0.176,0.372,0.060,g
2458043.83111,2017-10-17.3267755,bj,1.61,17.678,>17.678,99.990,0.302,0.062,g
2458044.83283,2017-10-18.3284752,bj,1.65,17.834,17.205,0.123,0.477,0.053,g
2458044.83404,2017-10-18.3296903,bj,1.58,17.692,17.230,0.143,0.466,0.061,g
2458044.83525,2017-10-18.3309047,bj,1.60,17.782,17.278,0.138,0.445,0.056,g
2458045.82244,2017-10-19.3180775,bj,1.67,17.668,17.446,0.178,0.382,0.062,g
2458045.82366,2017-10-19.3192908,bj,1.76,17.699,17.590,0.198,0.334,0.060,g
2458045.82488,2017-10-19.3205061,bj,1.66,17.726,17.198,0.135,0.479,0.059,g
2458046.81563,2017-10-20.3112483,bj,1.55,17.763,>17.763,99.990,0.273,0.057,g
2458046.81686,2017-10-20.3124752,bj,1.62,17.784,>17.784,99.990,0.264,0.056,g
2458046.81808,2017-10-20.3136938,bj,1.60,17.678,17.218,0.143,0.471,0.062,g
2458047.81986,2017-10-21.3154629,bj,1.68,17.528,17.427,0.200,0.388,0.071,g
2458047.82108,2017-10-21.3166803,bj,1.69,17.622,17.214,0.150,0.472,0.065,g
2458047.82229,2017-10-21.3178976,bj,1.69,17.464,17.196,0.171,0.481,0.075,g
2458048.81903,2017-10-22.3146232,bj,1.87,17.676,17.192,0.140,0.482,0.062,g
2458048.82026,2017-10-22.3158476,bj,1.68,17.686,17.336,0.159,0.422,0.061,g
2458048.82148,2017-10-22.3170664,bj,1.75,17.734,17.556,0.186,0.345,0.059,g
2458049.81630,2017-10-23.3118740,bj,1.53,16.612,>16.612,99.990,0.589,0.165,g
2458049.81750,2017-10-23.3130893,bj,1.77,16.771,>16.771,99.990,0.416,0.142,g
2458049.81873,2017-10-23.3143129,bj,1.62,16.947,>16.947,99.990,0.584,0.121,g
2458052.80998,2017-10-26.3055340,bj,1.93,17.794,17.195,0.126,0.481,0.055,g
2458052.81120,2017-10-26.3067584,bj,1.65,17.684,17.381,0.166,0.405,0.061,g
2458052.81244,2017-10-26.3079943,bj,1.64,17.795,17.183,0.125,0.486,0.055,g
2458053.81149,2017-10-27.3070371,bj,1.75,17.750,17.292,0.144,0.440,0.058,g
2458053.81270,2017-10-27.3082590,bj,1.85,17.660,17.350,0.165,0.417,0.063,g
2458053.81394,2017-10-27.3094870,bj,2.01,17.741,17.310,0.147,0.432,0.058,g
2458054.80462,2017-10-28.3001655,bj,2.10,17.697,17.102,0.127,0.524,0.061,g
2458054.80584,2017-10-28.3013840,bj,2.06,17.554,16.910,0.121,0.625,0.069,g
2458054.80705,2017-10-28.3026002,bj,2.06,17.139,>17.139,99.990,0.472,0.101,g
2458055.80606,2017-10-29.3016046,bj,2.43,99.990,99.990,99.990,99.990,99.990,g
2458055.80727,2017-10-29.3028159,bj,2.42,99.990,99.990,99.990,99.990,99.990,g
2458055.80849,2017-10-29.3040307,bj,2.42,99.990,99.990,99.990,99.990,99.990,g
2458056.81757,2017-10-30.3131185,br,1.54,16.949,>16.949,99.990,0.505,0.121,g
2458056.81879,2017-10-30.3143334,br,1.43,17.118,>17.118,99.990,0.261,0.103,g
2458056.82000,2017-10-30.3155417,br,1.46,17.005,16.717,0.168,0.747,0.115,g
2458057.71021,2017-10-31.2057488,bj,2.09,16.902,>16.902,99.990,0.343,0.126,g
2458057.71142,2017-10-31.2069649,bj,2.12,16.917,>16.917,99.990,0.319,0.124,g
2458057.71264,2017-10-31.2081846,bj,2.13,16.867,>16.867,99.990,0.329,0.130,g
2458066.55696,2017-11-09.0525659,bn,1.99,17.061,16.711,0.159,0.751,0.109,g
2458066.55817,2017-11-09.0537659,bn,2.00,17.341,>17.341,99.990,0.336,0.084,g
2458066.55938,2017-11-09.0549820,bn,1.86,17.244,16.907,0.161,0.627,0.092,g
2458067.80567,2017-11-10.3012827,bj,1.74,17.362,>17.362,99.990,0.370,0.083,g
2458067.80691,2017-11-10.3025268,bj,1.75,17.359,>17.359,99.990,0.350,0.083,g
2458067.80812,2017-11-10.3037372,bj,1.63,17.216,>17.216,99.990,0.454,0.094,g
2458068.54079,2017-11-11.0364149,bn,2.26,17.487,17.056,0.148,0.546,0.074,g
2458068.54199,2017-11-11.037625,bn,2.29,17.576,17.049,0.135,0.550,0.068,g
2458068.54321,2017-11-11.0388376,bn,2.29,17.384,16.938,0.145,0.609,0.081,g
2458068.79064,2017-11-11.2862748,bj,1.64,17.302,>17.302,99.990,0.427,0.087,g
2458068.79185,2017-11-11.2874922,bj,1.70,17.380,>17.380,99.990,0.305,0.081,g
2458068.79309,2017-11-11.2887223,bj,1.68,17.395,>17.395,99.990,0.395,0.080,g
2458070.76955,2017-11-13.2652070,bj,1.74,17.645,17.120,0.135,0.515,0.064,g
2458070.77076,2017-11-13.2664278,bj,1.72,17.874,17.352,0.136,0.416,0.052,g
2458070.77199,2017-11-13.2676531,bj,1.70,17.641,17.166,0.141,0.494,0.064,g
2458071.77293,2017-11-14.2686092,bj,1.70,17.577,17.157,0.149,0.498,0.068,g
2458071.77415,2017-11-14.2698415,bj,1.69,17.696,17.279,0.149,0.445,0.061,g
2458071.77538,2017-11-14.2710622,bj,1.77,17.563,17.202,0.157,0.478,0.069,g
2458072.76357,2017-11-15.2592667,bj,1.70,17.682,17.270,0.150,0.449,0.061,g
2458072.76478,2017-11-15.2604856,bj,1.84,17.524,17.118,0.151,0.516,0.071,g
2458072.76601,2017-11-15.2617064,bj,1.76,17.689,17.451,0.176,0.380,0.061,g
2458074.76740,2017-11-17.2631392,bj,1.55,17.751,17.604,0.191,0.330,0.058,g
2458074.76861,2017-11-17.2643554,bj,1.68,17.731,17.402,0.162,0.397,0.059,g
2458074.76983,2017-11-17.2655728,bj,1.68,17.753,17.474,0.169,0.372,0.058,g
2458075.76461,2017-11-18.2603732,bj,1.64,17.809,17.481,0.162,0.370,0.055,g
2458075.76583,2017-11-18.2615909,bj,1.66,17.758,17.303,0.144,0.435,0.057,g
2458075.76705,2017-11-18.2628108,bj,1.59,17.817,17.397,0.149,0.399,0.054,g
2458076.50938,2017-11-19.0051682,bn,1.49,17.960,17.077,0.097,0.536,0.048,g
2458076.51060,2017-11-19.0063824,bn,1.42,17.941,17.369,0.129,0.410,0.048,g
2458076.51181,2017-11-19.0076034,bn,1.47,18.017,17.429,0.127,0.388,0.045,g
2458076.76159,2017-11-19.2573761,bj,1.67,17.791,>17.791,99.990,0.178,0.056,g
2458076.76280,2017-11-19.2585866,bj,1.58,17.727,17.563,0.188,0.343,0.059,g
2458076.76401,2017-11-19.2598049,bj,1.65,17.710,16.978,0.111,0.588,0.060,g
2458077.50319,2017-11-19.9990021,bn,1.89,17.902,17.409,0.139,0.395,0.050,g
2458077.50440,2017-11-20.0002127,bn,1.80,17.742,17.010,0.111,0.570,0.058,g
2458077.50563,2017-11-20.0014363,bn,1.85,17.925,17.170,0.109,0.492,0.049,g
2458077.76237,2017-11-20.2581836,bj,1.57,17.699,17.131,0.130,0.510,0.060,g
2458077.76360,2017-11-20.2594160,bj,1.64,17.788,17.189,0.126,0.484,0.056,g
2458077.76482,2017-11-20.2606344,bj,1.66,17.673,17.330,0.160,0.425,0.062,g
2458079.75988,2017-11-22.2557586,bj,1.81,17.763,17.436,0.162,0.385,0.057,g
2458079.76110,2017-11-22.2569728,bj,1.76,17.862,17.538,0.163,0.351,0.052,g
2458079.76232,2017-11-22.2581888,bj,1.62,17.863,17.717,0.192,0.297,0.052,g
2458080.49411,2017-11-22.9900098,bn,2.20,17.692,16.710,0.088,0.752,0.061,g
2458080.76083,2017-11-23.2567363,bj,1.69,17.736,>17.736,99.990,0.271,0.058,g
2458080.76204,2017-11-23.2579459,bj,1.60,17.564,17.457,0.198,0.378,0.069,g
2458080.76326,2017-11-23.2591657,bj,1.57,17.679,17.241,0.146,0.461,0.062,g
2458081.75753,2017-11-24.2534653,bj,1.58,17.712,17.435,0.170,0.386,0.060,g
2458081.75875,2017-11-24.2546853,bj,1.61,17.665,17.208,0.144,0.475,0.062,g
2458081.75996,2017-11-24.2558942,bj,1.64,17.696,17.250,0.145,0.457,0.061,g
2458082.75445,2017-11-25.2504162,bj,1.62,17.724,17.480,0.175,0.370,0.059,g
