ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
120.8621908,-26.2720968,0.0615,0.0685,12.421,0.027,40.6,12.406,0.047,23.0,,,,,,,0000,AA,0,5,0.5,53.24,00,59887.05601219,44592r186-001071,2167.7,53.35,785.36,34.144,1216025801351012096,0.269646
120.8622248,-26.2721395,0.0497,0.0583,12.202,0.023,47.6,12.103,0.043,25.4,,,,,,,0000,AA,0,10,1.0,91.287,00,60043.36637038,49395r066-000820,2650.8,55.688,1037.9,40.847,1216025801351012096,0.098288
120.8622446,-26.2721391,0.0526,0.0596,12.278,0.026,42.5,11.966,0.034,31.6,,,,,,,0000,AA,0,5,0.5,40.896,00,60043.62626713,49403r066-000888,2472.6,58.238,1177.9,37.277,1216025801351012096,0.124723
120.8622151,-26.2721694,0.0566,0.0596,12.272,0.026,42.0,12.09,0.043,25.3,,,,,,,0000,AA,0,5,0.5,20.326,00,60043.69133685,49405r043-000836,2486.2,59.171,1050.4,41.521,1216025801351012096,0.021835
120.8621994,-26.2721478,0.0548,0.0601,12.27,0.023,47.8,12.156,0.054,20.1,,,,,,,0000,AA,0,5,0.5,0.53,00,60043.75627926,49407r066-000851,2491.0,52.069,988.39,49.21,1216025801351012096,0.097404
120.8621971,-26.2721173,0.0583,0.0712,12.253,0.026,42.4,12.105,0.051,21.1,,,,,,,0000,AA,0,10,1.0,-8.416,00,60043.82122162,49409r042-000875,2530.4,59.649,1036.2,49.002,1216025801351012096,0.193653
120.8621192,-26.2721237,0.0831,0.1031,13.081,0.039,27.7,12.775,0.056,19.2,,,,,,,0000,AA,0,0,0.0,-17.271,00,60043.88616398,49411r066-001891,1179.9,42.563,558.91,29.073,1216025801351012096,0.363397
120.8623553,-26.2720462,0.0648,0.068,12.746,0.028,38.6,12.444,0.052,20.7,,,,,,,0000,AA,0,0,0.0,-16.673,00,60043.88629134,49411r067-001097,1606.9,41.678,758.0,36.593,1216025801351012096,0.612817
120.8622016,-26.2721521,0.055,0.0566,12.273,0.024,45.5,12.081,0.038,28.6,,,,,,,0000,AA,0,10,1.0,-21.207,00,60043.95123375,49413r042-002765,2484.4,54.556,1058.9,36.969,1216025801351012096,0.081776
120.8622022,-26.2721345,0.0554,0.0587,12.286,0.022,48.7,12.102,0.042,25.6,,,,,,,0000,AA,0,10,1.0,-9.898,00,60044.01617606,49415r066-002483,2455.1,50.435,1038.6,40.541,1216025801351012096,0.130677
120.8621842,-26.2721648,0.0577,0.0726,12.231,0.026,41.3,12.04,0.047,23.0,,,,,,,0000,AA,0,10,1.0,9.913,00,60044.08111847,49417r042-000911,2581.3,62.567,1100.3,47.845,1216025801351012096,0.119294
120.8622127,-26.27216,0.0576,0.0576,12.239,0.025,44.0,12.063,0.035,30.7,,,,,,,0000,AA,0,10,1.0,30.437,00,60044.14618819,49419r067-000728,2562.8,58.22,1077.0,35.111,1216025801351012096,0.036053
120.8622414,-26.2721332,0.0497,0.0595,12.259,0.024,45.4,12.086,0.038,28.4,,,,,,,0000,AA,0,10,1.0,85.566,00,60044.34101528,49425r042-000856,2515.4,55.405,1054.8,37.096,1216025801351012096,0.136938
120.8622324,-26.2721545,0.0494,0.0581,12.298,0.025,42.6,12.093,0.037,29.5,,,,,,,0000,AA,0,10,1.0,86.239,00,60044.34114259,49425r043-000793,2426.9,56.935,1047.6,35.531,1216025801351012096,0.056816
120.8622519,-26.2721275,0.0539,0.0557,12.264,0.024,45.7,12.079,0.035,31.3,,,,,,,0000,AA,0,5,0.5,48.751,00,60044.6010394,49433r042-000809,2503.8,54.763,1061.2,33.884,1216025801351012096,0.172334
120.8622512,-26.2721733,0.0524,0.0571,12.064,0.024,45.4,11.819,0.033,33.0,,,,,,,0000,AA,0,5,0.5,55.628,00,60250.04835703,55770r209-000693,3010.0,66.228,1348.9,40.819,1216025801351012096,0.100116
120.8621983,-26.272088,0.0607,0.059,12.288,0.023,47.7,12.086,0.04,27.3,,,,,,,0000,AA,0,0,0.0,18.807,00,60250.17773233,55774r138-000778,2450.0,51.352,1054.0,38.634,1216025801351012096,0.292376
120.8622031,-26.2721437,0.0519,0.068,12.021,0.022,48.8,11.766,0.036,29.9,,,,,,,0000,AA,0,5,0.5,-3.661,00,60250.30710762,55778r209-000711,3134.3,64.288,1415.5,47.335,1216025801351012096,0.10086
120.8622076,-26.2722072,0.0486,0.0565,11.961,0.024,45.5,11.812,0.042,25.8,,,,,,,g000,AA,0,10,1.0,-14.505,00,60250.43648353,55782r210-001014,3310.7,72.755,1356.5,52.476,1216025801351012096,0.152519
120.8622218,-26.2721265,0.0543,0.0583,12.073,0.028,38.7,11.829,0.033,33.3,,,,,,,0000,AA,0,10,1.0,-2.862,00,60250.5011712,55784r194-000752,2985.4,77.156,1336.5,40.136,1216025801351012096,0.144378
120.8622299,-26.2721478,0.0505,0.0562,12.046,0.023,47.9,11.842,0.042,25.8,,,,,,,0000,AA,0,5,0.5,12.962,00,60250.56547683,55786r194-000733,3060.6,63.937,1320.1,51.088,1216025801351012096,0.0734
120.8622496,-26.2721558,0.0483,0.0521,12.018,0.021,51.1,11.804,0.036,30.5,,,,,,,0000,AA,0,10,1.0,31.844,00,60250.6301645,55788r185-000713,3142.0,61.467,1367.7,44.78,1216025801351012096,0.09988
120.8622015,-26.272131,0.0505,0.0525,12.041,0.023,47.6,11.849,0.035,31.0,,,,,,,g000,AA,0,5,0.5,50.579,00,60250.69485218,55790r210-000756,3075.2,64.547,1312.1,42.288,1216025801351012096,0.142927
