source_label,target_dist,x,y,flux,dx,dy,dflux,qf,rchi2,fracflux,fluxlbs,dfluxlbs,fwhm,spread_model,dspread_model,fluxiso,xiso,yiso,sky,ra,dec,coadd_id,band,unwise_detid,nm,primary,flags_unwise,flags_info,epoch,forward,mjdmin,mjdmax,mjdmean,mag,dmag,flags_unwise_bits,flags_unwise_descr,flags_info_bits,flags_info_descr
1.1,0.1333736926317215,1528.5377197265625,1048.4737548828125,17967.6171875,0.002876297105103731,0.0027682322543114424,34.22575759887695,1.0,18.819015502929688,0.8816478252410889,17972.537109375,34.80029296875,2.512359380722046,-0.0005243420600891113,8.199979492928833e-05,17971.443359375,-0.011307298205792904,0.005021292250603437,-14.251370429992676,123.84700775146484,-38.98976516723633,1238m394,1,1238m394w1o0041273e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,11.863773345947266,0.002068224363029003,,,,
1.2,4.2993669509887695,1528.02734375,1049.9449462890625,4173.79736328125,0.011416930705308914,0.011362102814018726,29.389738082885742,0.9999998807907104,9.340533256530762,0.31884920597076416,4181.53466796875,29.88129425048828,2.5025646686553955,-0.00014060735702514648,0.0002809101715683937,4185.26708984375,0.0007948535494506359,-0.02600143291056156,-14.196812629699707,123.84556579589844,-38.99015426635742,1238m394,1,1238m394w1o0118951e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,13.448671340942383,0.0076453001238405704,,,,
1.3,7.301832675933838,1525.840087890625,1048.5416259765625,2050.396240234375,0.02323627844452858,0.02026980184018612,26.057119369506836,1.0,4.926743984222412,0.3087981343269348,2061.239501953125,26.51102066040039,2.5098893642425537,-0.0004987716674804688,0.00047483076923526824,2050.81689453125,0.01220011804252863,-0.016150521114468575,-13.857483863830566,123.84693908691406,-38.99182891845703,1238m394,1,1238m394w1o0065861e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,14.220405578613281,0.013798645697534084,,,,
1.4,11.607707977294922,1524.29052734375,1048.8397216796875,1817.856689453125,0.02387186884880066,0.022108130156993866,25.192087173461914,1.0,3.9561636447906494,0.4855245351791382,1825.040771484375,25.67487335205078,2.5061194896698,-0.001751244068145752,0.0005327827529981732,1818.630615234375,0.011535568162798882,-0.005581351928412914,-13.563590049743652,123.84664916992188,-38.993011474609375,1238m394,1,1238m394w1o0118787e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,14.35110092163086,0.015047263354063034,,,,
1.5,12.021123886108398,1529.919677734375,1044.3203125,322.53741455078125,0.12665338814258575,0.12150130420923233,23.392791748046875,1.0,2.464965581893921,0.342988520860672,324.2174987792969,23.87450408935547,2.5073907375335693,0.002467513084411621,0.0026612330693751574,322.52154541015625,0.0064588868990540504,-0.03743132948875427,-14.20289134979248,123.85108947753906,-38.988712310791016,1238m394,1,1238m394w1o0157634e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.22854995727539,0.07888410985469818,,,,
1.6,14.408909797668457,1525.56201171875,1052.79541015625,404.0774841308594,0.10159391164779663,0.09764577448368073,23.737581253051758,1.0,1.2515451908111572,0.35501721501350403,412.5957946777344,24.219711303710938,2.5082170963287354,-0.0056441426277160645,0.0022159984800964594,404.0541687011719,0.006474738474935293,0.007763857953250408,-14.027053833007812,123.84275817871094,-38.99203872680664,1238m394,1,1238m394w1o0157604e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,15.983838081359863,0.06385522335767746,,,,
1.7,15.468036651611328,1534.0794677734375,1047.7879638671875,160.75527954101562,0.2573937475681305,0.24510125815868378,23.695035934448242,1.0,1.5313200950622559,0.3054286539554596,160.48583984375,24.171964645385742,2.505110025405884,0.0016689300537109375,0.005539936479181051,160.91685485839844,0.038992367684841156,-0.028665173798799515,-14.978501319885254,123.84768676757812,-38.98553466796875,1238m394,1,1238m394w1o0119138e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.984586715698242,0.16120989620685577,,,,
1.8,16.45074462890625,1530.5333251953125,1054.07666015625,1007.1381225585938,0.04098520427942276,0.0388714037835598,23.824254989624023,1.0,2.0609700679779053,0.695550799369812,1020.4906005859375,24.314472198486328,2.506298065185547,0.0016222000122070312,0.0008856459753587842,1007.1735229492188,-0.011379594914615154,-0.008057531900703907,-14.842206001281738,123.84150695800781,-38.98823928833008,1238m394,1,1238m394w1o0119079e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,14.992277145385742,0.02568834275007248,,,,
1.9,17.185508728027344,1526.38232421875,1042.57080078125,164.95433044433594,0.24809788167476654,0.23570121824741364,23.271631240844727,1.0,1.0960417985916138,0.34188199043273926,165.36587524414062,23.76018714904785,2.511967182159424,-0.00010794401168823242,0.005108348559588194,164.91917419433594,0.0806928426027298,-0.0008446885622106493,-13.603129386901855,123.85281372070312,-38.99141311645508,1238m394,1,1238m394w1o0157603e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.95659065246582,0.1542034149169922,,,,
1.10,20.9256649017334,1528.2662353515625,1056.058837890625,266.84161376953125,0.15233957767486572,0.1463232934474945,23.373933792114258,0.9999999403953552,1.9043257236480713,0.40048450231552124,288.0758972167969,23.86069679260254,2.504521369934082,-0.0032283663749694824,0.003285312559455633,266.7961120605469,0.15490001440048218,-0.009744452312588692,-14.469419479370117,123.83955383300781,-38.98997116088867,1238m394,1,1238m394w1o0118952e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.43436622619629,0.09534919261932373,,,,
1.11,22.499996185302734,1530.6185302734375,1040.5513916015625,177.66384887695312,0.23223306238651276,0.21957744657993317,23.280427932739258,1.0000001192092896,1.2991840839385986,0.3642940819263458,175.537841796875,23.76424789428711,2.5121231079101562,0.012101471424102783,0.0049574170261621475,177.67469787597656,-0.013951631262898445,-0.01896245963871479,-14.251092910766602,123.85479736328125,-38.98817825317383,1238m394,1,1238m394w1o0119010e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.87600326538086,0.14309372007846832,,,,
1.12,27.92934799194336,1522.083740234375,1056.3306884765625,3544.29248046875,0.012118333019316196,0.011458893306553364,25.555797576904297,1.0,4.9724040031433105,0.9437296986579895,3552.4501953125,26.06341552734375,2.5076100826263428,-0.0016016364097595215,0.00027827685698866844,3544.16552734375,0.0005899620009586215,0.009905168786644936,-13.523856163024902,123.83928680419922,-38.994693756103516,1238m394,1,1238m394w1o0041109e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,13.626175880432129,0.007828771136701107,,,,
2.1,0.2416253685951233,1528.429931640625,1048.512939453125,18038.833984375,0.00836642924696207,0.007853109389543533,86.4876480102539,0.9999998807907104,3.0047292709350586,0.8845227360725403,18071.8828125,88.40118408203125,2.7722625732421875,0.00024330615997314453,0.00019616812642198056,18036.330078125,0.006953774020075798,-0.006249997299164534,-16.3651065826416,123.84696960449219,-38.98984909057617,1238m394,2,1238m394w2o0033859e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,11.859478950500488,0.005205668043345213,,,,
2.2,4.487941265106201,1527.9976806640625,1050.0074462890625,3566.300537109375,0.03969023749232292,0.03897538408637047,79.5523681640625,0.9999999403953552,2.76778244972229,0.25519558787345886,3593.788818359375,81.32598114013672,2.7659173011779785,-0.000919044017791748,0.0008880130480974913,3561.00634765625,-0.010523649863898754,0.026509838178753853,-16.33991050720215,123.84550476074219,-38.990177154541016,1238m394,2,1238m394w2o0095254e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,13.619455337524414,0.024223238229751587,,,,
2.3,9.862680435180664,1524.9124755859375,1048.6439208984375,3227.013671875,0.04293318837881088,0.03994496911764145,73.98685455322266,1.0,4.130157470703125,0.5898595452308655,3240.538330078125,75.70986938476562,2.7695086002349854,0.0025818347930908203,0.0008870340534485877,3227.06787109375,-0.015058520250022411,-0.011736280284821987,-15.721583366394043,123.84683990478516,-38.99253463745117,1238m394,2,1238m394w2o0095185e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,13.727997779846191,0.024897398427128792,,,,
2.4,12.974658966064453,1526.251953125,1052.604248046875,388.13275146484375,0.3413749933242798,0.32374265789985657,71.43026733398438,1.0000001192092896,1.289576768875122,0.218305766582489,390.97271728515625,73.20269012451172,2.7709603309631348,-0.008789479732513428,0.007156933657824993,389.6394958496094,-0.2983376085758209,0.533219575881958,-15.862278938293457,123.84294891357422,-38.991512298583984,1238m394,2,1238m394w2o0125436e000,12,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.027549743652344,0.20211701095104218,,,,
2.5,15.91836929321289,1525.775634765625,1043.342041015625,290.123779296875,0.4510691165924072,0.4275095760822296,70.065673828125,1.0,0.6323835849761963,0.38978666067123413,320.1982727050781,71.83924102783203,2.770209550857544,0.004970252513885498,0.009246420115232468,290.1846008300781,0.030899375677108765,0.02909921295940876,-16.04680824279785,123.85205078125,-38.991878509521484,1238m394,2,1238m394w2o0125435e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.343542098999023,0.26749202609062195,,,,
2.6,16.545278549194336,1530.5400390625,1054.1107177734375,957.8047485351562,0.1377798318862915,0.1318771243095398,71.26167297363281,1.0,0.6778249740600586,0.644477903842926,980.1840209960938,73.03450775146484,2.768890619277954,0.0036652088165283203,0.002879025647416711,957.8992309570312,-0.021220240741968155,0.00613440154120326,-16.83207893371582,123.84146881103516,-38.98823547363281,1238m394,2,1238m394w2o0095299e000,13,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,15.046807289123535,0.08092943578958511,,,,
2.7,22.642765045166016,1536.7098388671875,1047.9051513671875,242.75869750976562,0.5477699637413025,0.5142995119094849,71.66232299804688,1.0000001192092896,1.2850099802017212,0.5809593200683594,261.3147277832031,73.4509048461914,2.7678284645080566,0.0054354071617126465,0.011533306911587715,242.75169372558594,-0.1378801167011261,-0.7077205777168274,-18.351213455200195,123.84757232666016,-38.983524322509766,1238m394,2,1238m394w2o0125583e000,12,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,16.537063598632812,0.3303384482860565,,,,
2.8,27.835105895996094,1522.06103515625,1056.2679443359375,3575.395751953125,0.037376582622528076,0.03590017929673195,74.44092559814453,1.0000001192092896,1.7330851554870605,0.9391651153564453,3570.14111328125,76.28739929199219,2.76832914352417,-0.0020408034324645996,0.0008172892848961055,3575.222900390625,-0.0074219168163836,0.01587666943669319,-15.043289184570312,123.83934783935547,-38.994712829589844,1238m394,2,1238m394w2o0033727e000,12,1,0,0,0,0,55321.2109375,55326.3046875,55323.7578125,13.616689682006836,0.022608652710914612,,,,
3.1,0.22591343522071838,1528.4151611328125,1048.4295654296875,17415.369140625,0.00279904343187809,0.0026601157151162624,31.55735206604004,1.0,14.997011184692383,0.8660075068473816,17405.271484375,32.103538513183594,2.623154640197754,0.0002849102020263672,7.879501208662987e-05,17416.740234375,0.01197009813040495,0.007200312800705433,-12.914183616638184,123.84705352783203,-38.98986053466797,1238m394,1,1238m394w1o0040102e001,19,1,0,0,1,1,55512.08984375,55517.1796875,55514.6328125,11.89766788482666,0.0019673556089401245,,,,
3.2,4.11195182800293,1528.0579833984375,1049.883056640625,4522.2451171875,0.009771700948476791,0.009536286816000938,27.014144897460938,1.000000238418579,6.659453868865967,0.32220372557640076,4518.6083984375,27.48121452331543,2.6167497634887695,0.0007395744323730469,0.00024258781922981143,4526.4013671875,0.028850922361016273,-0.004400185309350491,-13.17827320098877,123.84562683105469,-38.99013137817383,1238m394,1,1238m394w1o0113221e001,20,1,0,0,1,1,55512.08984375,55517.1796875,55514.6328125,13.361615180969238,0.006485849153250456,,,,
3.3,9.812312126159668,1524.931884765625,1048.6640625,3103.54638671875,0.01321002934128046,0.011674332432448864,22.337568283081055,1.0,39.75494384765625,0.6190661787986755,3102.19580078125,22.78150749206543,2.6200857162475586,0.0030147433280944824,0.0002697862219065428,3101.254150390625,-0.021616995334625244,-0.008991936221718788,-12.70154094696045,123.8468246459961,-38.99251937866211,1238m394,1,1238m394w1o0063325e001,21,1,0,0,1,1,55512.08984375,55517.1796875,55514.6328125,13.770354270935059,0.007814676500856876,,,,
3.4,11.266107559204102,1529.71142578125,1044.541015625,308.0580749511719,0.11975430697202682,0.11281798779964447,20.404706954956055,0.9999998807907104,3.5261967182159424,0.28692400455474854,293.7724609375,20.856449127197266,2.6227991580963135,0.007372915744781494,0.0024373657070100307,307.98046875,0.03070216067135334,-0.051053114235401154,-12.797860145568848,123.85087585449219,-38.98887252807617,1238m394,1,1238m394w1o0151310e001,19,1,0,0,1,1,55512.08984375,55517.1796875,55514.6328125,16.278417587280273,0.07202082872390747,,,,
