RA,DEC,Japermag1,Japermag1Err,Japermag3,Japermag3Err,mjd,fits
123.847046,-38.98978,12.891376,0.001479,12.69508,0.001075,58476.21418874,ADP.2021-03-12T18_13_33.692.fits
123.847046,-38.989784,12.783245,0.001415,12.645891,0.001053,58478.23348718,ADP.2021-03-12T18_13_35.083.fits
123.84703,-38.9898,12.413356,0.001319,12.384095,0.00104,58232.06832257,ADP.2021-03-12T18_16_13.104.fits
