ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
113.1420958,-20.013569,0.0554,0.0541,12.129,0.024,45.0,12.066,0.04,26.8,,,,,,,0000,AA,0,10,1.0,83.733,00,60030.30429367,48993r048-000803,2835.7,63.008,1073.9,40.05,1.1360197013510171e+18,0.124437
113.1421082,-20.013594,0.052,0.0569,12.153,0.022,49.4,12.065,0.039,28.0,,,,,,,0000,AA,0,5,0.5,100.255,00,60030.36923619,48995r072-000837,2774.9,56.144,1074.6,38.393,1.1360197013510171e+18,0.045069
113.14179,-20.0135,0.0857,0.0811,12.904,0.03,35.8,12.961,0.063,17.4,,,,,,,0000,AA,0,0,0.0,100.617,00,60030.43379662,48997r001-000853,1389.3,38.785,470.88,27.118,1.1360197013510171e+18,1.110804
113.1420851,-20.0135907,0.058,0.0564,12.172,0.023,46.9,12.191,0.045,24.1,,,,,,,0000,AA,0,5,0.5,61.998,00,60030.56431822,49001r048-000778,2726.7,58.167,957.61,39.735,1.1360197013510171e+18,0.066559
113.1420892,-20.0135669,0.051,0.0547,12.168,0.021,51.4,12.156,0.036,30.1,,,,,,,0000,AA,0,5,0.5,41.143,00,60030.62926064,49003r072-000832,2736.1,53.266,988.61,32.878,1.1360197013510171e+18,0.135854
113.1421033,-20.0135504,0.0564,0.0567,12.145,0.022,49.4,12.232,0.051,21.1,,,,,,,0000,AA,0,5,0.5,20.813,00,60030.69433047,49005r048-000831,2794.4,56.575,921.69,43.682,1.1360197013510171e+18,0.191256
113.1421144,-20.0135978,0.0541,0.0542,12.155,0.022,49.2,12.168,0.044,24.8,,,,,,,0000,AA,0,5,0.5,0.361,00,60030.8243427,49009r048-000811,2768.2,56.282,977.27,39.34,1.1360197013510171e+18,0.054597
113.1421006,-20.0135848,0.0549,0.0578,12.131,0.023,47.1,12.119,0.038,28.8,,,,,,,0000,AA,0,10,1.0,-11.465,00,60030.95435501,49013r049-001591,2830.6,60.048,1022.7,35.452,1.1360197013510171e+18,0.067083
113.1421339,-20.0135883,0.0502,0.0618,12.18,0.024,45.4,12.088,0.037,29.0,,,,,,,0000,AA,0,5,0.5,89.689,00,60034.33364815,49117r049-000876,2706.9,59.605,1052.2,36.243,1.1360197013510171e+18,0.128739
113.1421012,-20.0135914,0.0614,0.0721,12.176,0.028,39.2,12.141,0.038,28.9,,,,,,,0000,AA,0,5,0.5,90.357,00,60034.33377546,49117r050-000741,2717.0,69.384,1002.6,34.724,1.1360197013510171e+18,0.043627
113.1420912,-20.0135528,0.0957,0.0885,13.137,0.035,31.4,12.997,0.078,13.9,,,,,,,0000,AA,0,5,0.5,52.377,00,60239.69934734,55450r202-001683,1120.9,35.706,455.58,32.788,1.1360197013510171e+18,0.18426
113.1420706,-20.0135631,0.0789,0.0836,13.071,0.031,35.0,12.951,0.072,15.1,,,,,,,0000,AA,0,10,1.0,85.327,00,60239.82872264,55454r202-001677,1191.5,34.008,475.44,31.436,1.1360197013510171e+18,0.174753
113.1420648,-20.0135878,0.0873,0.0886,13.119,0.036,30.1,12.993,0.068,16.0,,,,,,,0000,AA,0,5,0.5,83.121,00,60239.95809799,55458r202-001678,1139.6,37.857,457.49,28.551,1.1360197013510171e+18,0.129815
113.1421447,-20.0135659,0.1005,0.0922,13.154,0.036,30.4,12.882,0.061,17.8,,,,,,,0000,AA,0,10,1.0,64.843,00,60240.02278565,55460r178-001761,1103.7,36.356,506.31,28.424,1.1360197013510171e+18,0.204218
113.1420521,-20.0136069,0.0968,0.0992,13.116,0.038,28.9,12.929,0.078,14.0,,,,,,,0000,AA,0,5,0.5,45.552,00,60240.08747328,55462r202-001616,1143.0,39.536,485.24,34.676,1.1360197013510171e+18,0.160492
113.1420797,-20.0135721,0.081,0.1023,13.11,0.033,33.2,12.934,0.064,16.9,,,,,,,0000,AA,0,5,0.5,25.752,00,60240.15216095,55464r177-001696,1149.6,34.581,482.64,28.571,1.1360197013510171e+18,0.13091
113.1420962,-20.0136815,0.0985,0.1382,13.129,0.042,25.6,12.98,0.077,14.2,,,,,,,0000,AA,0,5,0.5,7.018,00,60240.21684862,55466r202-001729,1128.7,44.146,462.84,32.701,1.1360197013510171e+18,0.281368
113.1420342,-20.0135916,0.0842,0.0922,13.179,0.033,32.5,13.056,0.07,15.5,,,,,,,0000,AA,0,5,0.5,-3.944,00,60240.28153625,55468r177-001861,1078.5,33.215,431.44,27.833,1.1360197013510171e+18,0.224599
113.1420618,-20.0135538,0.0936,0.1025,13.132,0.037,29.3,12.884,0.076,14.3,,,,,,,0000,AA,0,5,0.5,-12.56,00,60240.34622449,55470r202-002038,1125.8,38.479,505.66,35.301,1.1360197013510171e+18,0.219226
113.1420861,-20.0135665,0.0891,0.0975,13.162,0.035,30.9,13.147,0.084,13.0,,,,,,,h000,AA,0,5,0.5,-18.242,00,60240.41091215,55472r177-002981,1095.7,35.485,396.99,30.558,1.1360197013510171e+18,0.140251
113.142061,-20.0136287,0.1137,0.1409,13.234,0.046,23.6,13.149,0.085,12.8,,,,,,,0000,AA,0,10,1.0,-14.68,00,60240.47509047,55474r160-005064,1024.9,43.428,395.96,30.893,1.1360197013510171e+18,0.158643
113.1420696,-20.0135834,0.0912,0.0953,13.195,0.036,30.0,13.06,0.073,14.9,,,,,,,0000,AA,0,5,0.5,-14.113,00,60240.47521784,55474r161-004827,1062.2,35.409,430.04,28.834,1.1360197013510171e+18,0.123875
113.1420883,-20.0136229,0.1051,0.1219,13.275,0.042,26.1,13.103,0.075,14.5,,,,,,,0000,AA,0,5,0.5,4.382,00,60240.5402875,55476r177-001782,986.96,37.787,413.24,28.464,1.1360197013510171e+18,0.07961
113.1419642,-20.0136725,0.1242,0.1282,13.213,0.045,24.3,13.059,0.088,12.3,,,,,,,0000,AA,0,10,1.0,43.561,00,60240.66915339,55480r182-001730,1045.3,42.99,430.24,34.858,1.1360197013510171e+18,0.520605
113.142072,-20.0136275,0.087,0.0964,13.103,0.035,31.0,13.093,0.1,10.9,,,,,,,0000,AA,0,5,0.5,43.54,00,60240.66928075,55480r183-001707,1156.4,37.263,417.07,38.362,1.1360197013510171e+18,0.126955
113.1420132,-20.0136399,0.1057,0.1102,13.034,0.045,24.1,12.94,0.076,14.2,,,,,,,0000,AA,0,5,0.5,80.475,00,60240.79852868,55484r181-001646,1232.5,51.095,480.01,33.732,1.1360197013510171e+18,0.31982
113.1420845,-20.0135749,0.0918,0.1011,13.239,0.038,28.3,13.099,0.079,13.8,,,,,,,0000,AA,0,10,1.0,80.039,00,60240.79865601,55484r182-001809,1020.8,36.116,414.68,30.076,1.1360197013510171e+18,0.114311
113.1420583,-20.0135634,0.0619,0.0602,12.083,0.027,39.5,12.321,0.051,21.4,,,,,,,0000,AA,0,10,1.0,-9.113,00,60396.9926798,60327r072-001064,2960.0,74.873,849.38,39.78,1.1360197013510171e+18,0.20016
113.142074,-20.0135719,0.0647,0.059,12.193,0.027,40.5,12.188,0.038,28.8,,,,,,,0000,AA,0,5,0.5,64.432,00,60397.2497752,60335r071-000855,2673.4,65.984,959.43,33.295,1.1360197013510171e+18,0.142273
113.1420866,-20.01358,0.055,0.0598,12.138,0.026,42.1,12.214,0.043,25.1,,,,,,,0000,AA,0,5,0.5,64.891,00,60397.24990251,60335r072-000758,2813.1,66.889,937.2,37.397,1.1360197013510171e+18,0.094716
113.1420903,-20.0135809,0.0514,0.0607,12.182,0.024,44.6,12.117,0.046,23.7,,,,,,,0000,AA,0,10,1.0,82.49,00,60397.31369887,60337r047-000781,2700.7,60.524,1024.6,43.15,1.1360197013510171e+18,0.086652
113.1420819,-20.0135463,0.0516,0.0592,12.09,0.024,45.1,12.145,0.04,27.4,,,,,,,0000,AA,0,5,0.5,99.681,00,60397.37838653,60339r071-000951,2940.0,65.231,998.7,36.471,1.1360197013510171e+18,0.213914
113.1420897,-20.0135861,0.0532,0.0558,12.175,0.025,44.3,12.108,0.038,28.9,,,,,,,0000,AA,0,5,0.5,100.393,00,60397.37851389,60339r072-000814,2718.9,61.366,1033.6,35.727,1.1360197013510171e+18,0.070394
113.1421357,-20.013564,0.0492,0.0601,12.168,0.024,45.5,12.096,0.037,29.7,,,,,,,0000,AA,0,5,0.5,81.373,00,60397.50699795,60343r071-000831,2735.8,60.072,1044.5,35.152,1.1360197013510171e+18,0.187605
113.1420884,-20.0135655,0.0572,0.0728,12.188,0.032,34.4,12.143,0.036,30.4,,,,,,,0000,AA,0,5,0.5,81.572,00,60397.50712527,60343r072-000862,2686.3,78.137,1000.5,32.933,1.1360197013510171e+18,0.141423
113.1421228,-20.0135778,0.056,0.0677,12.133,0.026,42.0,12.133,0.044,24.7,,,,,,,0000,AA,0,10,1.0,60.492,00,60397.5702849,60345r047-000941,2825.4,67.304,1010.2,40.966,1.1360197013510171e+18,0.121485
113.1420848,-20.01359,0.0529,0.0559,12.146,0.022,50.4,12.038,0.038,28.7,,,,,,,0000,AA,0,10,1.0,40.459,00,60397.63509997,60347r071-000887,2791.1,55.428,1102.2,38.41,1.1360197013510171e+18,0.069037
113.1420672,-20.0135605,0.0575,0.0693,12.12,0.027,40.8,12.155,0.049,22.3,,,,,,,0000,AA,0,10,1.0,20.118,00,60397.69889632,60349r047-000882,2861.0,70.085,989.12,44.348,1.1360197013510171e+18,0.188985
113.1420675,-20.0135663,0.0641,0.0578,12.168,0.025,42.9,12.095,0.04,26.9,,,,,,,0000,AA,0,10,1.0,6.684,00,60397.76371139,60351r072-000798,2736.8,63.859,1046.1,38.949,1.1360197013510171e+18,0.171703
113.1420986,-20.0135854,0.0523,0.056,12.173,0.022,48.5,12.135,0.04,27.2,,,,,,,0000,AA,0,5,0.5,-2.766,00,60397.8275077,60353r047-000822,2722.9,56.103,1007.6,37.061,1.1360197013510171e+18,0.064856
113.1421293,-20.0136053,0.0517,0.0593,12.105,0.024,44.7,12.106,0.038,28.4,,,,,,,0000,AA,0,10,1.0,-15.885,00,60397.95599176,60357r046-001458,2899.8,64.87,1034.8,36.478,1.1360197013510171e+18,0.101371
113.1420823,-20.0135929,0.0523,0.0579,12.14,0.025,43.9,12.112,0.037,29.1,,,,,,,0000,AA,0,10,1.0,-15.109,00,60397.95611907,60357r047-001385,2807.6,63.915,1029.5,35.387,1.1360197013510171e+18,0.069098
113.1420758,-20.0135688,0.0555,0.0583,12.144,0.022,50.3,12.114,0.047,22.9,,,,,,,0000,AA,0,5,0.5,10.458,00,60398.08460314,60361r047-000841,2797.3,55.572,1027.6,44.809,1.1360197013510171e+18,0.147946
113.14209,-20.0136334,0.0558,0.057,12.171,0.022,48.9,12.113,0.037,29.4,,,,,,,0000,AA,0,5,0.5,51.823,00,60398.21321456,60365r047-000847,2728.9,55.787,1028.6,35.011,1.1360197013510171e+18,0.112583
