oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
310203300003613,46419752,2458218.6984036425,58218.1975231,14.0645037,0.0103885233,0,zr,113.142136,-20.0135904,0.709999979,-0.00800000038,20180410197512,310,3.0,3.0,19.7399998,25.9424343,0.0305445381,0.0800060034,1.46956172e-05,30,2.11899996,1
310203300003613,47517111,2458229.6711769756,58229.1711111,14.0999823,0.0104069058,0,zr,113.1420821,-20.0134474,0.736999989,-0.0,20180421171088,310,3.0,3.0,18.9699993,26.0487804,0.0416761041,0.0713259876,2.64996397e-05,30,2.17000008,1
310203300003613,67243582,2458426.9369176817,58426.4358218,14.0368967,0.0103749512,0,zr,113.1421134,-20.013573,0.708000004,-0.0219999999,20181104435822,310,3.0,3.0,20.5300007,26.0823765,0.0231634472,0.0878246054,8.25161987e-06,30,1.97000003,1
310203300003613,67540003,2458429.901347129,58429.4000347,14.0700731,0.0103913387,0,zr,113.142111,-20.0135815,1.03299999,0.057,20181107400023,310,3.0,3.0,20.7700005,26.068655,0.0168156978,0.0922569185,4.45007299e-06,30,2.34599996,1
310203300003613,67645972,2458430.9611113756,58430.4597222,14.0572376,0.0103848903,0,zr,113.1421238,-20.0135823,0.904999971,-0.0179999992,20181108459711,310,3.0,3.0,20.5400009,26.1445026,0.0168980565,0.0857990086,4.47970706e-06,30,1.722,1
310203300003613,67755230,2458432.053771029,58431.5523032,14.0432625,0.0103780245,0,zr,113.1421305,-20.0135551,0.916999996,0.00999999978,20181109552303,310,3.0,3.0,18.8400002,26.081625,0.0336473286,0.0954970196,1.72896562e-05,30,1.68299997,1
310203300003613,67841483,2458432.9163675676,58432.414838,14.0304613,0.0103718769,0,zr,113.1421123,-20.0135859,0.88499999,-0.0329999998,20181110414826,310,3.0,3.0,20.2099991,26.098341,0.0206041019,0.0970377475,6.61539616e-06,30,2.01900005,1
310203300003613,68043921,2458434.940886279,58434.439213,14.0424185,0.0103776157,0,zr,113.1421326,-20.0135846,0.432000011,-0.00800000038,20181112438993,310,3.0,3.0,19.2099991,26.1217403,0.0307652447,0.0930384099,1.42657955e-05,30,1.773,1
310203300003613,68339508,2458437.896960616,58437.395081,14.0756388,0.0103941774,0,zr,113.1420985,-20.0135624,0.989000022,-0.00899999961,20181115395081,310,3.0,3.0,19.9500008,26.1107979,0.0261666346,0.0876379982,1.06470989e-05,30,2.09100008,1
310203300003613,68538542,2458439.8874441986,58439.3854282,14.0483942,0.0103805261,0,zr,113.1421104,-20.0135673,0.279000014,-0.0189999994,20181117385324,310,3.0,3.0,20.4599991,25.8884411,0.0167624615,0.0940941945,4.31043372e-06,30,2.14599991,1
310203300003613,68739957,2458441.901723535,58441.3995718,14.0738068,0.0103932405,0,zr,113.142122,-20.0135747,0.84799999,-0.0189999994,20181119399572,310,3.0,3.0,20.1800003,26.010994,0.0183095932,0.0854548216,5.15582769e-06,30,1.92499995,1
310203300003613,68941739,2458443.919681044,58443.4173958,14.0560036,0.0103842774,0,zr,113.1421241,-20.0135938,1.08599997,-0.00200000009,20181121417384,310,3.0,3.0,20.3199997,26.10923,0.0219685622,0.0876621976,7.42690099e-06,30,1.75699997,1
310203300003613,69444070,2458448.9433118277,58448.440706,14.0614529,0.0103869922,0,zr,113.1421156,-20.0135833,0.84799999,-0.0350000001,20181126440694,310,3.0,3.0,19.8199997,26.133791,0.0210371017,0.0862785801,6.77458502e-06,30,1.625,1
310203300003613,69637724,2458450.8799699293,58450.3772454,14.0549688,0.0103837643,0,zr,113.1421167,-20.0135767,0.551999986,0.00200000009,20181128377234,310,3.0,3.0,19.8500004,26.0890045,0.0190231986,0.0916686878,5.49548122e-06,30,1.90499997,1
310203300003613,70833186,2458462.835250696,58462.3318634,14.0431957,0.0103779929,0,zr,113.1421142,-20.0135763,0.867999971,-0.023,20181210331852,310,3.0,3.0,20.2000008,25.8235741,0.0254675876,0.0848412812,1.03336924e-05,30,2.0309999,1
310203300003613,71837878,2458472.8826200203,58472.3787847,14.0623665,0.0103874495,0,zr,113.1421226,-20.0135839,0.591000021,0.00100000005,20181220378692,310,3.0,3.0,19.9799995,26.1572056,0.0176794548,0.0862293988,4.83311942e-06,30,1.61899996,1
310203300003613,72033398,2458474.837891065,58474.3339815,14.0266371,0.0103700645,0,zr,113.1421104,-20.0135724,0.904999971,-0.0299999993,20181222333924,310,3.0,3.0,19.1800003,26.1286106,0.0253954548,0.0922444686,9.94491711e-06,30,1.75,1
310203300003613,72034474,2458474.848655365,58474.3447454,14.0390844,0.0103760036,0,zr,113.1421219,-20.0135718,1.42400002,-0.057,20181222344387,310,3.0,3.0,19.3400002,26.1362152,0.0261325501,0.0979857817,1.03932298e-05,30,1.699,2
310203300003613,72034519,2458474.849106781,58474.3451968,14.048274,0.0103804683,0,zr,113.1421152,-20.0135845,0.351999998,-0.0140000004,20181222345197,310,3.0,3.0,19.5100002,26.1294498,0.0225147475,0.0967244953,7.81178005e-06,30,1.69700003,2
310203300003613,72034565,2458474.8495696993,58474.3456597,14.0594721,0.0103860032,0,zr,113.1421212,-20.0135672,0.625999987,0.00600000005,20181222345648,310,3.0,3.0,19.6499996,26.1207066,0.0202222578,0.0930139497,6.18595232e-06,30,1.69500005,2
310203300003613,72034611,2458474.850021116,58474.3461111,14.0542049,0.0103833862,0,zr,113.1421226,-20.0135703,0.499000013,0.00499999989,20181222346111,310,3.0,3.0,19.7000008,26.1364307,0.0214116741,0.092335403,6.89168974e-06,30,1.69299996,2
310203300003613,72034657,2458474.8504841323,58474.3465741,14.0537329,0.0103831524,0,zr,113.1421199,-20.0135794,0.43900001,-0.0299999993,20181222346562,310,3.0,3.0,19.6599998,26.1369572,0.0212701224,0.0947607085,6.80745461e-06,30,1.69099998,2
310203300003613,72034702,2458474.8509355495,58474.3470255,14.0601034,0.0103863189,0,zr,113.1421229,-20.0135773,0.712000012,-0.0540000014,20181222347025,310,3.0,3.0,19.75,26.1383629,0.0209398959,0.0915412754,6.57561395e-06,30,1.68900001,2
310203300003613,72034748,2458474.851398466,58474.3474884,14.0685892,0.0103905862,0,zr,113.1421227,-20.0135852,0.503000021,-0.0399999991,20181222347477,310,3.0,3.0,19.7399998,26.135891,0.0229064561,0.0914833024,8.00810449e-06,30,1.68700004,2
310203300003613,72034793,2458474.8518498833,58474.3479398,14.0564976,0.0103845224,0,zr,113.1421225,-20.0135784,0.680000007,-0.0179999992,20181222347928,310,3.0,3.0,19.7999992,26.1337395,0.0192876793,0.0890273899,5.70247585e-06,30,1.68599999,2
310203300003613,72034839,2458474.8523013,58474.3483912,14.0657434,0.0103891492,0,zr,113.1421241,-20.0135773,0.685000002,-0.00100000005,20181222348391,310,3.0,3.0,19.6900005,26.1370258,0.0222799294,0.0903380513,7.62871832e-06,30,1.68400002,2
310203300003613,72034885,2458474.852764318,58474.3488542,14.0643654,0.0103884544,0,zr,113.1421246,-20.0135606,0.593999982,-0.0179999992,20181222348843,310,3.0,3.0,19.7700005,26.1486454,0.0226045344,0.0883017927,7.84096301e-06,30,1.68200004,2
310203300003613,72034930,2458474.853215733,58474.3493056,14.0478268,0.0103802495,0,zr,113.1421276,-20.0135863,0.731999993,-0.0260000005,20181222349306,310,3.0,3.0,19.7700005,26.1420269,0.020649001,0.0898153856,6.60669548e-06,30,1.68099999,2
310203300003613,72034976,2458474.853678651,58474.3497685,14.0370121,0.0103750052,0,zr,113.1421231,-20.0135745,0.407000005,-0.00899999961,20181222349757,310,3.0,3.0,19.7700005,26.1451588,0.0195484031,0.0906516984,5.83672545e-06,30,1.67900002,2
310203300003613,72035021,2458474.854130068,58474.3502199,14.0736322,0.0103931511,0,zr,113.1421249,-20.0135753,0.644999981,-0.0560000017,20181222350220,310,3.0,3.0,19.75,26.1449585,0.0207835473,0.0861344337,6.56179054e-06,30,1.67700005,2
310203300003613,72035068,2458474.854593085,58474.3506829,14.0424614,0.0103776362,0,zr,113.1421262,-20.0135745,0.300000012,-0.00100000005,20181222350671,310,3.0,3.0,19.7900009,26.137661,0.020935405,0.0921953842,6.65671541e-06,30,1.676,2
310203300003613,72035113,2458474.8550445028,58474.3511343,14.0700064,0.0103913052,0,zr,113.1421272,-20.0135614,0.449000001,-0.0280000009,20181222351134,310,3.0,3.0,19.7600002,26.1413403,0.0180102382,0.0879848972,4.86328645e-06,30,1.67400002,2
310203300003613,72035159,2458474.8555074194,58474.3515972,14.0612478,0.0103868907,0,zr,113.1421243,-20.0135729,0.419,-0.0149999997,20181222351586,310,3.0,3.0,19.7900009,26.1415386,0.0181825664,0.0881851912,5.13244731e-06,30,1.67200005,2
310203300003613,72035204,2458474.855958836,58474.3520486,14.0628452,0.0103876907,0,zr,113.1421263,-20.0135724,0.400999993,-0.00200000009,20181222352037,310,3.0,3.0,19.8700008,26.1391449,0.0216887556,0.089554742,7.32873423e-06,30,1.671,2
310203300003613,72035250,2458474.8564102524,58474.3525,14.0543823,0.0103834756,0,zr,113.1421232,-20.0135815,0.314999998,0.00800000038,20181222352500,310,3.0,3.0,19.7900009,26.13764,0.0254383031,0.0939870477,1.00322386e-05,30,1.66900003,2
310203300003613,72035296,2458474.85687327,58474.352963,14.0677013,0.0103901364,0,zr,113.1421282,-20.0135714,0.836000025,-0.0179999992,20181222352951,310,3.0,3.0,19.6499996,26.1410236,0.0229362547,0.0844438076,8.19726938e-06,30,1.66799998,2
